,phrase,translation
0,алы Тгт мньсит ,верхнесосьвинские манси
1,Cакв мньсит ,сыгвинские манси
2,мньси мхум ,мансийские люди
3,Алы Тгт мхум нēлмсупыл потыртгыт,Верхнесосьвинские манси говорят полуязыком (половиной языка)
4,Āс мньсит Āс мхум нарылнув потыртгыт,"Устьсосьвинские манси говорят, чуть подражая ханты (языку)"
5,Сакв мхум кминьтаг нргатахтыглым потыртгыт,"Сыгвинские манси говорят мягко, плавно"
6,вит,вода
7,хп,лодка
8,йӣв,дерево
9,вр,лес
10,йка,мужчина
11,лēккар,врач
12,лпка,магазин
13,нй,героиня
14,йӣен,иди
15,мӣнэн,уйди
16,тыр,богатырь
17,нй н,героиня
18,мкол,землянка
19,виткуль,водяной
20,йипыг,филин
21,путьник,спутник
22,яныг,большой
23,мнь,маленький
24,тсам,сухой
25,витыӈ,мокрый
26,мины,уходит
27,юв,вовнутрь
28,сурум,твердый
29,кминьт,мягкий
30,кркам,проворный
31,савыӈ,букв. горестное место
32,пēламтаӈкве,зажечь
33,харыгтаӈкве,гасить
34,сёлыӈ,богатый
35,нуса,бедность
36,нӈхаль,в верхнюю сторону
37,ёлаль,вниз
38,хилуӈкве,копать
39,рамуӈкве,"копать, закапывать  что-либо"
40,войкантор ,"""платье из мешковины)"
41,пувтуп,"острога, которой кололи и вынимали из воды рыбу"
42,хас,тальник
43,рсын,аршин
44,ква спор,большая игла из кости (для) женщины
45,пум твар,циновка из камыша
46,нл,стрела
47,вт,лук
48,мпыӈсун,нарта для езды на собаках
49,сёвал,чувал
50,тп,"черпак (для льда, рыбы из воды)"
51,пра,спаренные две лодки для перевозки невода и забрасывания его 16  на тони
52,хуриӈ хп,крытая большая дощатая лодка для поездки на Обь
53,глагол ми,шагает
54,требует наличия субъекта действия тав,он
55,Тав ми,Он шагает
56,глагол янмалтаӈкве,растить
57,пикпгрись янмалтаӈкве,растить бычка
58,каузативный глагол врылтаӈкве,попросить делать что-нибудь
59, Āквум субъект  побудитель  пгēн  тӯп  исполнитель  врылтас  объект  труда ,Бабушка сына весло делать попросила
60,глагол врылтаӈкве,попросить делать
61,матум,старый
62,матум йка,постаревший мужчина
63,нӈxаль юв,вверх поднимается (идёт)
64,прилагательное выгыр,красный
65,выгыр хп,красная лодка
66,ще,отец его
67,япе10,отец 10 Япе  в нижнелозьвинском диалекте ‘его старший брат
68,яггитэ,сестра его (её)
69,ятэ,сестра его
70,янгуй,лось
71,хӯнтуп,котомка
72,искōла,школа
73,рутищка,ручка
74,крн,горн
75,касēта,газета
76,свет,совет
77,сырай,сабля
78,нтуп,иголка
79,коюп,бубен
80,ӯс,город
81,Русь ӯс,русский город
82,Москва ӯс,город Москва
83,тӯп,весло
84,тл,зима
85,ӯльпа тл,кедровая хвоя
86,нр,сырой
87,ква,женщина
88,Внька ква,жена Ваньки (Ивана)
89,ква нйив сгри,женщина колет дрова
90,пг11,юноша
91,Увсим пыг ньсис,Сестра родила сына
92,Пыг н тотыс,Юноша женился
93,кислакв ӈхум лквыӈ трум,кольцеобразные круглые небеса
94,атыр хари тр,голубая ткань (словно) ясное небо
95,колум,мой дом
96,кол,дом
97,ми,он шагает
98,мори нямри,бездельничает
99,пити,дупло
100,пупакве,медведь
101,катюпа,кошка
102,оно обозначает,тон
103,тол,талый
104,пос,свет
105,пс,отражаться
106,ат,запах
107,т,волос
108,хус,двадцать
109,хӯс,звезда
110,пут,наледь
111,пӯт,котёл
112,апа,страшный
113,па,люлька
114,иты,перелетает (с ветки на ветку)
115,ӣти,ночью
116,ос,и
117,с,коза
118,мингын,ты идёшь
119,минэгн,"вы (двое, многие) пойдете"
120,ис,душа
121,исмит,уха
122,пис,слой
123,рит,колкая (древесина)
124,при,криво
125,мори,всякий
126,ӣснас,окно
127,ӣныг,шиповник
128,вӣльт,лицо
129,пӣрас,упряжка собаки
130,мӣл,глубокий
131,эссамтаӈкве,стыдиться
132,эрттам,будто бы
133,номнэн,помнишь (его)
134,номтэ,его дума
135,маньнэ,"невестка, молодица"
136,т,ночь
137,рыг,песня
138,нрп,охра
139,нпак,бумага
140,н,женщина
141,т,ясно
142,потыр,рассказ
143,хсы,умеет
144,наманн ,ваши имена
145,пг ,сын
146,мг ,он дает
147,ас,дыра
148,хура,корыто
149,смас,полынья
150,сс,береста
151,м,земля
152,урак,момент
153,урум,худой
154,пум,"трава, сено"
155,хум,мужчина
156,ӯмпи,ковшик
157,пӯӈ,"большое стадо (оленей, иных животных)"
158,окка,олененок прирученный
159,мос,до
160,кос,коготь
161,па,дед (по отцовской линии)
162,ри,самка (собаки)
163,сс,чага
164,пх,бок
165,хт,где
166,пль,"заморозки, наст"
167,Мныр врēгын? В транскрипции mnĭr wrеγĭn?,Что ты делаешь?
168,Мныр врегн?,Что вы делаете?
169,ны,чашка
170,ныйыг,две чашки
171,слы,олень
172,слыйыг,два оленя
173,хури,вид (внешний вид)
174,хурийыг,два портрета
175,пагыг,две люльки
176,мгыг,две земли
177,маньнэгыг,две снохи
178,нгыг,женщины (две)
179,значат одно и то же,часы
180,лм ,уха с молотыми костями
181,лм ,черёмуха
182,нн ,вы [многие]
183,ннь ,хлеб
184,сс ,береста
185,ссь ,тётя по отцу
186,тр ,предмет как орудие
187,тēр ,железо
188,ēр ,карман
189,пор,плот
190,пкв,шишка
191,апыг,внук
192,сап,сошка
193,тр,корень
194,аты,собирает
195,ӯты,лает
196,пт,налог
197,ст,удача
198,тēнт ,шапка
199,тка ,огонь
200,пcьги,лепит
201,потьпоть,капкап
202,кт,рука
203,кӯр,печка
204,пуки,живот
205,покты,с трудом сидит
206,тк,крепкий
207,сак,бусинка
208,см,угол
209,сорт,щука
210,понсум,спелый
211,ханса,орнамент
212,мис,корова
213,сн ,чан
214,сил ,бубенчик
215,асирма ,мороз
216,хасьлум ,рваный
217,пись ,мудрость
218,кась ,младший брат
219,хал,щель
220,хиль,"наличие какихто следов, признаков"
221,хай,жадина
222,схат,"рулон (бересты, ткани)"
223,пох,"фундамент (дома, памятника)"
224,сах,кишка
225,мнт,лопата
226,мпа,штанишки
227,мп,собака
228,нн,вы
229,нам,имя
230,ёлн,внизу
231,сн,чуман из бересты
232,нямари ,кривляка
233,нēр ,пена
234,аня ,красивая вещь
235,ньт ,рог
236,мнь ,маленький
237,ӈха,куропатка
238,мӯӈи,яйцо
239,умиӈ,дуплистый (о дереве)
240,наӈ,ты
241,иӈ,все ещё
242,ёрыӈ,важный
243,вт,ветер
244,ви,дверь
245,вта,пика
246,лов,десять
247,лув,лошадь
248,сайты,гноится
249,мйт,сказку рассказывать
250,нуй,сукно
251,кай,"эй, слышишь"
252,ягпыг ,брат
253,рēг ,жара
254,сыг ,налим
255,олын,деньга
256,алын,в верховьях реки
257,пл,сторона
258,лх ,дорога
259,люп ,охра [природная]
260,ӯльпа ,кедр
261,пaль ,ухо
262,соль ,палка с острым концом
263,русы,кисти
264,ракв,дождь
265,хорт,лай
266,пр,икра
267,кар,дятел
268,квлыг,верёвка
269,аква,один
270,хорр,сушеная без костей рыба
271,урр,продольная гора
272,сºрыг,живот
273,лºунт,гусь
274,нʹº`ёлыг,пиявка
275,мēт ,плата
276,пирва ,чирок
277,квāлыг,веревка
278,квак,кваканье лягушки на мансийский слух
279,хансы,он пишет
280,хассум,я писал
281,масыс,он одел
282,массум,я одел
283,лх,дорога
284,лӈхыт,на дороге
285,нх,наверх
286,а? ,Что?
287,ас ,дыра
288,н ,женщина
289,ӯс ,город
290,ӯрт ,«духовный фантом» покойного
291,па ,люлька
292,ома ,мама
293,пасан ,стол
294,квмква ,бабушка
295,сргaхта ,"""рыбная) речка, где всегда можно добыть рыбу на пропитание"
296,хаснйив ,карандаш
297,врыглахты ,дразнится (он)
298,хоссыгхаты ,качается
299,мовылтахи ,кругом
300,ӯнлахлн ,посиживайте
301,поргалтахтасум ,запрыгал(а) (я)
302,товатахтыглы ,плавает на лодке
303,хартыглахтыглы ,"гримасничает, дразнясь"
304,ханисьтахтыгллсум ,учился (я) неоднократно (чемуто)
305,поргатахтыгласум ,вздыбленного зверя (я) сдерживал
306,мана,что
307,хара,редкий (лес)
308,хахаха,хохот
309,ань,теперь
310,ур,продольная гора
311,Āс,Обь
312,ор,наледь
313,анана,ойойой
314,урурыл,со всех сторон (рассмотри)
315,мисхум,"таёжный, таинственный человек"
316,пальсимсяк,серги
317,пормастл,налегке (поехать)
318,колпох,фундамент дома
319,нас,обоз
320,ӯрай,старица
321,сграп,топор
322,трка,ёрш
323,пормас,груз
324,курска,кружка
325,врлтап,заказ на изготовление (чегото)
326,Прска,Парасковья
327,сaнспуӈк,колено
328,тӯпсуп,маленькое весло
329,ктпал,одна рука
330,патта,макушка
331,сккар,сахар
332,касса,касса
333,но ныйыг,две чашки
334,aпа,люлька
335,хурагыг,два корыта
336,крта,ограда
337,кртагыг,две ограды
338,норма,полка
339,нормагыг,две полки
340,п,"тас, п‘тэс; ко‘лкан ‘пол"
341,сӯ,мъях ‘лабаз
342,по,рыгпан ква ‘лягушка
343,,"масьлаӈкве ‘спокойно, неспеша шагать"
344,хо,мыс ‘как
345,у,чӣтель ‘учитель
346,пи,ркта ‘бригада
347,ку,луп ‘клуб
348,пē,карни ‘пекарня
349,и,падать вниз
350,Ёмас кол хота птыри,Хороший дом – всегда на виду (его не скроешь)
351,Нн пвлынт учитēлиг хоттют лы?,В вашей деревне кто является учителем?
352,Учитēлюв тēплохот ёт ёхтыс?,Наш учитель на теплоходе приехал?
353,Учитēлюв ёхтыс теплохот ёт,Наш учитель приехал именно на теплоход (а не на какомто другом транспорте)
354,хāп,лодка
355,хаап,лодка
356,тууп,весло
357,ээнтап,ремень
358,ēр,край
359,нтап,пояс
360,рмак,шёлк
361,ӈк,лёд
362,хансаӈ,пёстрый
363,пальсак,"""женское) украшение из бисера"
364,пльсам,крупинка снега
365,мнькол,"""женский) «санитарный» домик"
